Time,Temp_F,DewPoint_F,Humidity,Wind,WindSpeed_mph,WindGust_mph,Pressure_in,Precip_in,Condition
7:30 PM,81,72,74,NNE,8,0,29.90,0.0,Mostly Cloudy
8:00 PM,81,72,74,NE,9,0,29.90,0.0,Mostly Cloudy
8:30 PM,81,72,74,NNE,8,0,29.90,0.0,Mostly Cloudy
9:00 PM,81,72,74,NNE,8,0,29.93,0.0,Mostly Cloudy
9:30 PM,81,72,74,NE,7,0,29.93,0.0,Mostly Cloudy
10:00 PM,79,72,78,NE,8,0,29.93,0.0,Mostly Cloudy
10:30 PM,79,72,78,NE,7,0,29.93,0.0,Mostly Cloudy
11:00 PM,79,72,78,NNE,6,0,29.96,0.0,Mostly Cloudy
11:30 PM,79,72,78,NE,8,0,29.96,0.0,Mostly Cloudy
12:00 AM,79,72,78,NE,8,0,29.96,0.0,Mostly Cloudy
12:30 AM,79,72,78,NE,9,0,29.93,0.0,Mostly Cloudy
1:00 AM,77,72,83,NE,8,0,29.93,0.0,Mostly Cloudy
1:30 AM,77,72,83,NE,8,0,29.90,0.0,Mostly Cloudy
2:00 AM,77,72,83,NNE,8,0,29.90,0.0,Mostly Cloudy
2:30 AM,77,72,83,NE,9,0,29.87,0.0,Mostly Cloudy
3:00 AM,77,72,83,NE,8,0,29.84,0.0,Mostly Cloudy
3:30 AM,77,72,83,NNE,7,0,29.84,0.0,Mostly Cloudy
4:00 AM,77,72,83,NNE,6,0,29.84,0.0,Mostly Cloudy
4:30 AM,77,72,83,NNE,5,0,29.84,0.0,Mostly Cloudy
5:00 AM,77,72,83,NNE,5,0,29.87,0.0,Mostly Cloudy
5:30 AM,77,72,83,NE,6,0,29.87,0.0,Mostly Cloudy
6:00 AM,77,72,83,NE,6,0,29.87,0.0,Mostly Cloudy
6:30 AM,77,72,83,NNE,8,0,29.87,0.0,Mostly Cloudy
7:00 AM,77,70,78,NNE,8,0,29.87,0.0,Mostly Cloudy
7:30 AM,77,70,78,NNE,6,0,29.90,0.0,Mostly Cloudy
8:00 AM,77,72,83,NE,7,0,29.90,0.0,Mostly Cloudy
8:30 AM,79,72,78,NE,8,0,29.93,0.0,Mostly Cloudy
9:00 AM,81,72,74,NE,9,0,29.93,0.0,Mostly Cloudy
9:30 AM,81,72,74,NE,8,0,29.96,0.0,Mostly Cloudy
10:00 AM,82,72,70,NNE,8,0,29.96,0.0,Mostly Cloudy
10:30 AM,82,70,66,NNE,13,0,29.96,0.0,Mostly Cloudy
11:00 AM,86,68,55,NE,14,0,29.96,0.0,Mostly Cloudy
11:30 AM,84,70,62,NE,10,0,29.96,0.0,Mostly Cloudy
12:00 PM,84,70,62,NNE,12,0,29.93,0.0,Mostly Cloudy
12:30 PM,86,72,62,NE,14,0,29.93,0.0,Mostly Cloudy
1:00 PM,86,68,55,NNE,13,0,29.93,0.0,Mostly Cloudy
1:30 PM,88,68,52,NE,13,0,29.90,0.0,Mostly Cloudy
2:00 PM,88,68,52,NE,14,0,29.90,0.0,Mostly Cloudy
2:30 PM,88,66,49,NE,13,0,29.87,0.0,Mostly Cloudy
3:00 PM,88,68,52,NE,15,0,29.84,0.0,Mostly Cloudy
3:30 PM,88,68,52,NE,16,0,29.84,0.0,Mostly Cloudy
4:00 PM,88,68,52,NE,15,0,29.84,0.0,Mostly Cloudy
4:30 PM,86,68,55,NNE,13,0,29.84,0.0,Mostly Cloudy
5:00 PM,86,68,55,NE,14,0,29.84,0.0,Mostly Cloudy
5:30 PM,86,70,58,NE,14,0,29.84,0.0,Mostly Cloudy
6:00 PM,84,70,62,NE,14,0,29.84,0.0,Mostly Cloudy
6:30 PM,82,70,66,NE,15,0,29.84,0.0,Mostly Cloudy
7:00 PM,82,70,66,NE,15,0,29.87,0.0,Mostly Cloudy
7:30 PM,81,70,70,NE,14,0,29.87,0.0,Mostly Cloudy
8:00 PM,81,70,70,NE,12,0,29.90,0.0,Mostly Cloudy
8:30 PM,79,70,74,NE,9,0,29.90,0.0,Mostly Cloudy
9:00 PM,79,70,74,NE,8,0,29.93,0.0,Mostly Cloudy
9:30 PM,79,70,74,NE,8,0,29.93,0.0,Mostly Cloudy
10:00 PM,79,70,74,NE,8,0,29.93,0.0,Mostly Cloudy
10:30 PM,79,70,74,NE,7,0,29.93,0.0,Mostly Cloudy
11:00 PM,79,70,74,NE,8,0,29.93,0.0,Mostly Cloudy
11:30 PM,77,70,78,NE,8,0,29.93,0.0,Mostly Cloudy
12:00 AM,79,70,74,NE,9,0,29.96,0.0,Mostly Cloudy
12:30 AM,79,72,78,NNE,6,0,29.96,0.0,Mostly Cloudy
1:00 AM,77,72,83,N,6,0,29.93,0.0,Mostly Cloudy
1:30 AM,77,72,83,NNE,6,0,29.93,0.0,Mostly Cloudy
2:00 AM,77,70,78,NNE,7,0,29.90,0.0,Mostly Cloudy
2:30 AM,77,70,78,N,5,0,29.90,0.0,Mostly Cloudy
3:00 AM,77,70,78,N,5,0,29.90,0.0,Mostly Cloudy
3:30 AM,75,70,83,N,5,0,29.87,0.0,Mostly Cloudy
4:00 AM,75,70,83,N,5,0,29.87,0.0,Mostly Cloudy
4:30 AM,75,70,83,N,6,0,29.87,0.0,Mostly Cloudy
5:00 AM,75,70,83,N,6,0,29.87,0.0,Mostly Cloudy
5:30 AM,75,70,83,N,5,0,29.87,0.0,Mostly Cloudy
6:00 AM,75,70,83,N,5,0,29.87,0.0,Mostly Cloudy
6:30 AM,75,70,83,N,3,0,29.87,0.0,Mostly Cloudy
7:00 AM,75,72,89,NNE,5,0,29.90,0.0,Mostly Cloudy
7:30 AM,75,72,89,NNE,5,0,29.90,0.0,Mostly Cloudy
8:00 AM,77,72,83,N,5,0,29.90,0.0,Mostly Cloudy
8:30 AM,77,72,83,N,5,0,29.93,0.0,Mostly Cloudy
9:00 AM,79,72,78,VAR,5,0,29.93,0.0,Mostly Cloudy
9:30 AM,81,72,74,NNE,8,0,29.96,0.0,Mostly Cloudy
10:00 AM,82,72,70,NNE,7,0,29.96,0.0,Mostly Cloudy
10:30 AM,82,72,70,NNE,7,0,29.96,0.0,Mostly Cloudy
11:00 AM,84,72,66,NNE,8,0,29.96,0.0,Mostly Cloudy
11:30 AM,86,72,62,N,7,0,29.96,0.0,Mostly Cloudy
12:00 PM,86,70,58,NNE,10,0,29.93,0.0,Mostly Cloudy
12:30 PM,88,70,55,NE,12,0,29.93,0.0,Mostly Cloudy
1:00 PM,88,70,55,NE,12,0,29.90,0.0,Mostly Cloudy
1:30 PM,86,70,58,NE,12,0,29.90,0.0,Mostly Cloudy
2:00 PM,88,68,52,NE,14,0,29.87,0.0,Mostly Cloudy
2:30 PM,90,70,52,NE,15,0,29.87,0.0,Mostly Cloudy
3:00 PM,86,68,55,NE,13,0,29.84,0.0,Mostly Cloudy
3:30 PM,86,70,58,NE,14,0,29.84,0.0,Mostly Cloudy
4:00 PM,88,70,55,NE,15,0,29.81,0.0,Mostly Cloudy
4:30 PM,86,70,58,NE,16,0,29.81,0.0,Mostly Cloudy
5:00 PM,86,70,58,NE,15,0,29.81,0.0,Mostly Cloudy
5:30 PM,84,70,62,NE,14,0,29.81,0.0,Mostly Cloudy
6:00 PM,84,70,62,NE,14,0,29.81,0.0,Mostly Cloudy
6:30 PM,82,70,66,NE,14,0,29.84,0.0,Mostly Cloudy
7:00 PM,82,70,66,NE,14,0,29.84,0.0,Mostly Cloudy
7:30 PM,81,70,70,NE,12,0,29.84,0.0,Mostly Cloudy
8:00 PM,81,72,74,NE,10,0,29.87,0.0,Mostly Cloudy
8:30 PM,79,72,78,NE,10,0,29.87,0.0,Mostly Cloudy
9:00 PM,79,72,78,NE,9,0,29.90,0.0,Mostly Cloudy
9:30 PM,79,72,78,NE,8,0,29.90,0.0,Mostly Cloudy
10:00 PM,79,72,78,NE,7,0,29.90,0.0,Mostly Cloudy
10:30 PM,79,72,78,NE,7,0,29.93,0.0,Mostly Cloudy
11:00 PM,79,72,78,NE,7,0,29.93,0.0,Mostly Cloudy
11:30 PM,79,72,78,NE,7,0,29.93,0.0,Mostly Cloudy
12:00 AM,79,72,78,NNE,7,0,29.93,0.0,Mostly Cloudy
12:30 AM,77,72,83,NE,7,0,29.93,0.0,Mostly Cloudy
1:00 AM,77,72,83,NNE,6,0,29.90,0.0,Mostly Cloudy
1:30 AM,77,72,83,NNE,6,0,29.90,0.0,Mostly Cloudy
2:00 AM,77,72,83,N,5,0,29.90,0.0,Mostly Cloudy
2:30 AM,77,72,83,N,5,0,29.87,0.0,Mostly Cloudy
3:00 AM,77,72,83,N,6,0,29.87,0.0,Mostly Cloudy
3:30 AM,77,72,83,N,6,0,29.87,0.0,Mostly Cloudy
4:00 AM,77,72,83,N,5,0,29.87,0.0,Mostly Cloudy
4:30 AM,77,72,83,N,5,0,29.84,0.0,Mostly Cloudy
5:00 AM,75,72,89,VAR,3,0,29.84,0.0,Mostly Cloudy
5:30 AM,75,72,89,N,5,0,29.84,0.0,Mostly Cloudy
6:00 AM,77,72,83,N,3,0,29.84,0.0,Mostly Cloudy
6:30 AM,77,72,83,N,3,0,29.87,0.0,Mostly Cloudy
7:00 AM,77,72,83,NNE,3,0,29.87,0.0,Mostly Cloudy
7:30 AM,77,72,83,NNE,8,0,29.87,0.0,Mostly Cloudy
8:00 AM,77,72,83,NNE,8,0,29.87,0.0,Mostly Cloudy
8:30 AM,79,72,78,NE,8,0,29.90,0.0,Mostly Cloudy
9:00 AM,79,72,78,NNE,10,0,29.90,0.0,Mostly Cloudy
9:30 AM,81,72,74,NNE,9,0,29.90,0.0,Mostly Cloudy
10:00 AM,82,72,70,NE,12,0,29.90,0.0,Mostly Cloudy
10:30 AM,84,70,62,NE,12,0,29.93,0.0,Mostly Cloudy
11:00 AM,84,70,62,NE,14,0,29.93,0.0,Mostly Cloudy
11:30 AM,86,70,58,NNE,12,0,29.90,0.0,Mostly Cloudy
12:00 PM,86,70,58,NE,13,0,29.90,0.0,Mostly Cloudy
12:30 PM,86,70,58,NE,12,0,29.90,0.0,Mostly Cloudy
1:00 PM,86,70,58,NE,13,0,29.87,0.0,Mostly Cloudy
1:30 PM,88,70,55,NNE,12,0,29.84,0.0,Mostly Cloudy
2:00 PM,88,70,55,NE,13,0,29.84,0.0,Mostly Cloudy
2:30 PM,88,68,52,NE,14,0,29.81,0.0,Mostly Cloudy
3:00 PM,88,68,52,NE,14,0,29.81,0.0,Mostly Cloudy
3:30 PM,88,68,52,NE,15,0,29.78,0.0,Mostly Cloudy
4:00 PM,88,70,55,NE,13,0,29.78,0.0,Mostly Cloudy
4:30 PM,88,68,52,NE,15,0,29.78,0.0,Mostly Cloudy
5:00 PM,86,70,58,NE,13,0,29.78,0.0,Mostly Cloudy
5:30 PM,86,70,58,NE,17,0,29.78,0.0,Mostly Cloudy
6:00 PM,84,70,62,NE,14,0,29.78,0.0,Mostly Cloudy
6:30 PM,84,70,62,NE,14,0,29.78,0.0,Mostly Cloudy
7:00 PM,82,70,66,NE,10,0,29.81,0.0,Mostly Cloudy
7:30 PM,82,72,70,NE,12,0,29.81,0.0,Mostly Cloudy
8:00 PM,81,72,74,NE,13,0,29.84,0.0,Mostly Cloudy
8:30 PM,81,73,79,NE,9,0,29.84,0.0,Mostly Cloudy
9:00 PM,81,73,79,NNE,8,0,29.87,0.0,Mostly Cloudy
9:30 PM,81,73,79,NE,9,0,29.87,0.0,Mostly Cloudy
10:00 PM,79,73,83,NE,7,0,29.90,0.0,Mostly Cloudy
10:30 PM,79,73,83,NE,7,0,29.90,0.0,Partly Cloudy
11:00 PM,79,73,83,NE,7,0,29.90,0.0,Mostly Cloudy
11:30 PM,79,73,83,NE,6,0,29.90,0.0,Mostly Cloudy
12:00 AM,79,73,83,NNE,6,0,29.90,0.0,Mostly Cloudy
12:30 AM,79,73,83,NNE,6,0,29.90,0.0,Mostly Cloudy
1:00 AM,79,73,83,NE,7,0,29.90,0.0,Mostly Cloudy
1:30 AM,79,73,83,NE,7,0,29.87,0.0,Mostly Cloudy
2:00 AM,79,73,83,NNE,7,0,29.87,0.0,Mostly Cloudy
2:30 AM,79,73,83,NNE,5,0,29.87,0.0,Mostly Cloudy
3:00 AM,79,73,83,NNE,3,0,29.84,0.0,Mostly Cloudy
3:30 AM,77,73,89,NNE,5,0,29.84,0.0,Mostly Cloudy
4:00 AM,77,73,89,NNE,7,0,29.84,0.0,Mostly Cloudy
4:30 AM,77,73,89,NE,7,0,29.84,0.0,Mostly Cloudy
5:00 AM,77,73,89,NE,7,0,29.84,0.0,Mostly Cloudy
5:30 AM,77,73,89,NE,8,0,29.84,0.0,Mostly Cloudy
6:00 AM,77,73,89,NNE,7,0,29.84,0.0,Mostly Cloudy
6:30 AM,77,73,89,NNE,6,0,29.84,0.0,Mostly Cloudy
7:00 AM,77,73,89,NNE,6,0,29.84,0.0,Mostly Cloudy
7:30 AM,77,73,89,N,5,0,29.87,0.0,Mostly Cloudy
8:00 AM,77,73,89,NNE,5,0,29.87,0.0,Mostly Cloudy
8:30 AM,79,73,83,NNE,5,0,29.90,0.0,Mostly Cloudy
9:00 AM,81,73,79,NNE,7,0,29.90,0.0,Mostly Cloudy
9:30 AM,82,73,74,NNE,8,0,29.90,0.0,Mostly Cloudy
10:00 AM,84,73,70,NE,10,0,29.93,0.0,Mostly Cloudy
10:30 AM,84,73,70,NNE,13,0,29.93,0.0,Mostly Cloudy
11:00 AM,86,73,66,NNE,12,0,29.93,0.0,Mostly Cloudy
11:30 AM,88,72,58,NNE,10,0,29.93,0.0,Mostly Cloudy
12:00 PM,88,72,58,NE,14,0,29.93,0.0,Mostly Cloudy
12:30 PM,88,72,58,NE,14,0,29.90,0.0,Mostly Cloudy
1:00 PM,90,72,55,NE,14,0,29.90,0.0,Mostly Cloudy
1:30 PM,90,72,55,NE,16,0,29.87,0.0,Mostly Cloudy
2:00 PM,90,72,55,NE,14,0,29.87,0.0,Mostly Cloudy
2:30 PM,90,72,55,NNE,15,0,29.84,0.0,Mostly Cloudy
3:00 PM,90,72,55,NE,15,0,29.84,0.0,Mostly Cloudy
3:30 PM,90,72,55,NE,15,0,29.81,0.0,Mostly Cloudy
4:00 PM,90,72,55,NNE,15,0,29.81,0.0,Mostly Cloudy
4:30 PM,88,72,58,NE,16,0,29.81,0.0,Mostly Cloudy
5:00 PM,88,70,55,NE,16,0,29.81,0.0,Mostly Cloudy
5:30 PM,86,72,62,NE,17,0,29.81,0.0,Mostly Cloudy
6:00 PM,84,72,66,NE,15,0,29.81,0.0,Mostly Cloudy
6:30 PM,84,73,70,NE,14,0,29.81,0.0,Mostly Cloudy
7:00 PM,82,72,70,NNE,13,0,29.81,0.0,Mostly Cloudy
7:30 PM,81,73,79,NE,12,0,29.84,0.0,Mostly Cloudy
8:00 PM,81,73,79,NE,12,0,29.84,0.0,Mostly Cloudy
8:30 PM,81,73,79,NE,10,0,29.84,0.0,Mostly Cloudy
9:00 PM,81,73,79,NNE,8,0,29.84,0.0,Mostly Cloudy
9:30 PM,79,73,83,NE,9,0,29.87,0.0,Mostly Cloudy
10:00 PM,79,73,83,NE,7,0,29.87,0.0,Mostly Cloudy
10:30 PM,79,73,83,NE,7,0,29.90,0.0,Mostly Cloudy
11:00 PM,79,73,83,NE,7,0,29.90,0.0,Mostly Cloudy
11:30 PM,79,73,83,NNE,6,0,29.90,0.0,Mostly Cloudy
12:00 AM,79,73,83,NE,7,0,29.90,0.0,Mostly Cloudy
12:30 AM,79,73,83,NE,6,0,29.90,0.0,Mostly Cloudy
1:00 AM,79,73,83,NE,7,0,29.90,0.0,Mostly Cloudy
1:30 AM,79,73,83,NE,7,0,29.90,0.0,Mostly Cloudy
2:00 AM,79,73,83,NNE,6,0,29.87,0.0,Mostly Cloudy
2:30 AM,79,73,83,NNE,5,0,29.87,0.0,Mostly Cloudy
3:00 AM,79,73,83,NNE,5,0,29.84,0.0,Mostly Cloudy
3:30 AM,79,73,83,NNE,6,0,29.84,0.0,Mostly Cloudy
4:00 AM,79,73,83,NE,7,0,29.84,0.0,Mostly Cloudy
4:30 AM,77,73,89,NE,6,0,29.84,0.0,Mostly Cloudy
5:00 AM,77,73,89,NE,7,0,29.84,0.0,Mostly Cloudy
5:30 AM,77,73,89,NE,7,0,29.84,0.0,Mostly Cloudy
6:00 AM,77,73,89,NNE,6,0,29.84,0.0,Mostly Cloudy
6:30 AM,77,73,89,NE,6,0,29.87,0.0,Mostly Cloudy
7:00 AM,77,73,89,NE,5,0,29.87,0.0,Mostly Cloudy
7:30 AM,77,73,89,NNE,5,0,29.87,0.0,Mostly Cloudy
8:00 AM,79,73,83,N,5,0,29.87,0.0,Mostly Cloudy
8:30 AM,79,73,83,NNE,5,0,29.90,0.0,Mostly Cloudy
9:00 AM,81,73,79,NE,7,0,29.90,0.0,Mostly Cloudy
9:30 AM,82,73,74,NNE,8,0,29.90,0.0,Mostly Cloudy
10:00 AM,82,73,74,NE,10,0,29.93,0.0,Mostly Cloudy
10:30 AM,84,72,66,NNE,10,0,29.93,0.0,Mostly Cloudy
11:00 AM,86,73,66,NNE,10,0,29.93,0.0,Mostly Cloudy
11:30 AM,86,72,62,NNE,12,0,29.90,0.0,Mostly Cloudy
12:00 PM,86,72,62,NE,13,0,29.90,0.0,Mostly Cloudy
12:30 PM,88,72,58,NE,12,0,29.90,0.0,Mostly Cloudy
1:00 PM,88,72,58,NE,13,0,29.87,0.0,Mostly Cloudy
1:30 PM,90,70,52,NE,12,0,29.87,0.0,Mostly Cloudy
2:00 PM,88,72,58,NE,13,0,29.84,0.0,Mostly Cloudy
2:30 PM,90,72,55,NE,14,0,29.84,0.0,Mostly Cloudy
3:00 PM,90,72,55,NE,15,0,29.81,0.0,Mostly Cloudy
3:30 PM,88,72,58,NE,16,0,29.81,0.0,Mostly Cloudy
4:00 PM,88,72,58,ENE,17,0,29.81,0.0,Mostly Cloudy
4:30 PM,88,72,58,ENE,17,0,29.81,0.0,Mostly Cloudy
5:00 PM,88,72,58,NE,15,0,29.81,0.0,Mostly Cloudy
5:30 PM,86,72,62,ENE,15,0,29.81,0.0,Mostly Cloudy
6:00 PM,86,72,62,NE,14,0,29.81,0.0,Mostly Cloudy
6:30 PM,84,72,66,NE,14,0,29.81,0.0,Mostly Cloudy
7:00 PM,82,72,70,ENE,16,0,29.81,0.0,Mostly Cloudy
7:30 PM,81,72,74,ENE,14,0,29.84,0.0,Mostly Cloudy
8:00 PM,81,72,74,NE,8,0,29.84,0.0,Mostly Cloudy
8:30 PM,81,72,74,NE,8,0,29.87,0.0,Mostly Cloudy
9:00 PM,81,72,74,NE,6,0,29.87,0.0,Mostly Cloudy
9:30 PM,79,73,83,NE,7,0,29.90,0.0,Mostly Cloudy
10:00 PM,79,73,83,NNE,6,0,29.90,0.0,Mostly Cloudy
10:30 PM,79,73,83,NE,7,0,29.90,0.0,Mostly Cloudy
11:00 PM,79,73,83,NE,8,0,29.90,0.0,Mostly Cloudy
11:30 PM,79,73,83,NE,7,0,29.90,0.0,Mostly Cloudy
